,X,Y,block,class,description,plate,site,stratum,year
11,,,B, III. Querns (nos. 11—18),"11. Sk.’ 24-9; Block B Mag 37 50’; stratuml. Saddleuquern of quartzite Without ornament. Size 16 X 6 1n. 12 Sk. ’24—«200, Block B; sq 36. so; stratuml. Similar. Size 15 x 5 in Cf p. 14.8 supra. (P1 14M) Type 5. Stool—querns. The stool—quern is invariably made of sandstone, never of quartzite or other hard stone, and is usually decorated with carvings in relief. Some of the earlier specimens from the Bhir Mound have the upper surface scored with zigzag lines or other patterns lightly incised. In the later specimens of Mathura sandstone from Sirkap the carving is much more elaborate, and at one end the quern slab usually projects well beyond the legs and is supported on brackets. These specimens were no doubt made by the stone-carvers of Mathura and brought thence to Taxila.",,Sk,,1924
13,15,57,, III. Querns (nos. 11—18),"13. Bm.’ 24—502; sq. I 5- 57; stratum III. Stool-quern of red Mathura sandstone, with four legs. Plain. Size 11- 5 x 5 x 5 in.",,Bm,3,
14,,,, III. Querns (nos. 11—18),"14.. Bm.’19~5; sq. 62 5’; stratum I. Similar, of quartzite sandstone with parallel zigzag lines scored on upper surface. Size 14. x 6 x 6 12 in. I 5. Bm. ’19~4; sq. 62- 5’; stratum I. Similar, ‘of grey sandstone. Size 1375 >< 6-75 x 6 in. The top is incised with parallel zigzag lines, and various emblems, including pairs of ﬁshes, dharmacakms and two ﬁgures which faintly resemble the image of Jagannath. (Pl. 140, f.)",140-f,Bm,1,1919
16,118,55,, III. Querns (nos. 11—18),"16. Sk. ’26—1,8o4; BlockH; sq. I 18- 5 5 ’; stratum II. Similar, but of red Mathura sandstone, with projecting end carried on makara brackets. Length 11 in. The sides and legs are ornamented with ﬂoral patterns in low relief. Cf. p. 169; A.S.R. (1926), P1. XXVIII, no. 12 and p. 118, no. 12. (Pl. 140, e; 143, c.)",140-e; 143-c,Sk,2,1926
17,65,97,D, III. Querns (nos. 11—18),"17. Sk. ’28—1,122, 1,140 and 1,222; Block D’; sq. 65-97’; stratum I and stratum II. Similar, of spotted red Mathura sandstone, with projection at one end. On the other end, engraved in low relief, are two pairs of ﬁshes with small lotus ﬂower, and above, two larger lotuses in i   1 3.. 1; l i       CH. 25] STONE OBJECTS 487 squares; on each side is a lotus ‘Tree of Life’ (kulpu—luzd) springing from a vase with ﬁshes in each bend of its“’sinuous stalk. The bracket supporting the projecting end was in the form of a yuksht' or urikshadeei, of which only the head remains. The quern, which is 13-5 in. long, is broken in three pieces, and two of the legs, with the front brackets, are missing. Cf. p. 190 supra. (Pl. 140, h.)",140-h,Sk,1,1928
18,,,1, III. Querns (nos. 11—18),"18. Sk. ’21—-15; Block 1'; sq. 1 3177’; stratum 11. Similar, of reddish sandstone with pro- jecting end, decorated with simple swag-like border, swastika and trirutuu devices. Length 14-5 in. Cf. p. 196 supra. (Pl. 140,22) The mullers used with these querns are generally between 9 and I I in. in length (but some are shorter) and 2 to 3 in. in diameter. Some are made of basalt, quart- zite, hornblende or other hard stone; others of sandstone. The former are used along with the hard-stone querns, the latter with the sandstone ones. The most orthodox shape seems to have been a long slightly barrel—shaped cylinder. Some, however, were-true cylinders, and others Were natural pebbles rubbed roughly into shape. Many of the cylindrical specimens have been worn down by use in the middle or ﬂattened on one side. The following few examples from among the many found on the Bhir Mound and in Sirkap will sufﬁce.","140,22",Sk,2,1921
19,58,6,, IV. Mullers (nos. 19—26),"19. Bin. ’19—1, 32 5; sq. 58-6’; stratum IV. Stone muller of green quartzite; broken. Length '62 in.",,,4,1919
420,10,38,, IV. Mullers (nos. 19—26),"4 20. Bm. ’19—812; sq. 10-38'; stratum III. Similar, of basalt; broken. Length 4-87 in.",,Bm,3,1919
21,5,61,, IV. Mullers (nos. 19—26),"21. Bm. ’ 19~1, 519; sq. 5-61’; stratum III. Similar, of green quartzite. Length, 5-25 in. an Era 194154; sq. 10-36’; stratum III. Similar, of quartzite sandstone, highly polished by the rubbing. Lentieular in section in the middle. Length 6 93 in. . £3 Em.19w634; sq m 36'; stratum 111, but probably a stray from stratum I. Similar, 11f Charla: sandstene, highly polished; barrekshaped but worn down on one side. Size ,, 414.9, j.) 3’ at; {135' , stratum I. Similar, of Chunar sandstone, barrel-shaped.                 Length s5 1:1. :25. Sit. ’zgwgaég Bleak 3’; sq 76 100"" , stratum II. Similar, of purple-grey quartzose sandstnne cylindrical and slightly barrel-shaped, with ﬂat ends. Highly polished with wear. g 75 in. long and a 75 in. diam Cf. p. 184 supra",,Bm,3,
26,135,62,I, IV. Mullers (nos. 19—26),"26. 8k. ’26~354; Block I; sq. I3 5-62’; stratum II. Similar, of ﬁne-grained chloritic quart- zite. A singularly ﬁne specimen of dark grey-green colour and perfectly cylindrical in shape, with ﬂat ends. Length 8-37 in. Sp. gr. of stone=2-66. Cf. p. 171 supra. C L A s s V. Grinding-mills (nos. 27—43 1) Type a. As indicated above, circular grinding-mills came into use at Taxila for the ﬁrst time during the late Saka—Parthian period. The earliest specimen is no. 27.",,Bl,2,1926
27,,,, IV. Mullers (nos. 19—26),"27. Sk.’ 12; Trench A 461 , stratum II. From Sirkap; made of grey Taraki sandstone. Diam. 16-5 in. In this and the following specimens, the centre hole, through which the grain was introduced, was pierced through the nether as well as the upper millstone, the nether hole being then plugged with wood and furnished with a pivot or spike. In no. 27, the upper stone is convex above, concave underneath, thinning rapidly towards the edge, while the nether is convex above in order‘to ﬁt with the upper one. As this grinding-mill was meant to be worked by two persons, the upper stone was provided with socket-holes for two handles. (P1. 140, k.) 62—2 General remarks on household and toilet vessels, etc. 488 STONE OBJECTS [CH. 25",140-k,Sk,2,
28,,,, IV. Mullers (nos. 19—26),"28. Sk. ’14—844. This is a later example of the ﬁfth century A.D. from the Kunala monastery. The ‘surfaces between the two stones, instead of being curved, slope downwards in a straight line to the outside; there is a projecting boss on the upper stone round the central hole, and towards this boss the top surface of the upper stone has a gentle slope. This mill is also made of Taraki grey sandstone and has a slightly bigger diameter (16-62 in.) than no. 27, but it is provided with a socket—hole for one handle only. Possibly the changes introduced in the shapes of the stones and other details had tended to reduce the friction and so lessen the labour. (Pls. 140, l; 143, h.)",,Sk,,1914
