,X,Y,block,class,coord,description,plate,site,stratum,year
1,56,63,," I. Sculptures in the Hellenistic style (nos. I, 2)","56,63","I. One of the best examples of sculptures in this style is the bearded head, no. I, from the apsidal temple D in Sirkap=Sk. ’13—2,o43; sq. 56-63’; stratum II. The head, of which the height is 8-12 in., is that of a typical Greek satyr, with pointed ears, broad ﬂat nose, moustache, beard and free-ﬂowing locks. There is nothing mechanical or crude about the workmanship. The features are modelled with feeling, and there is an intensity of expression in the knitted brows and half—parted lips and a boldness in the treatment of the hair and beard that bespeak a thorough mastery over the material, but at the same time a proper understanding of its i limitations. The strong, almost portrait-like individuality that characterises the countenance is typical of Greek art in its later phases; it is never found in early Indian art; nor is it a characteristic of the Gandhara School. With this and the following head the reader should compare the little head of Dionysus in silver repoussé ﬁgured in P1. 209, a, which is equally characteristic of Hellenistic craftsmanship. A.S.R. (1912), P1. XVII, c. (Pl. I48, no. I.)",I48-I,Sk,2,1913
2,55,62,," I. Sculptures in the Hellenistic style (nos. I, 2)","55,62","2. Another head in the Hellenistic style, is that ﬁgured in P1. I48, no. 2. (Sk. ’13—2,065; sq. 5 5-62’; stratum II; height 4-5 in.). It, too, is bearded, but the beard in this instance is treated in simpler masses, and there is a quiet dignity and repose about the features that ﬁnd in 66 Use of moulds 518 STUCCO SCULPTURES [CH. 26 their nearest parallel among cult statues of the Greek pantheon. Unfortunately, the upper part of the head is mutilated, but what remains is quite enough to show that the sculptor had an intimate knowledge of Hellenistic art. Cf. A.S.R. (1912), P1. XVIII, c. These are the sculptures executed by local craftsmen in more or less imitation of Greek or Graeco-Roman models. Some of them resemble the small terra-cotta ﬁgurines of this period found at Akra and other contemporary sites, including Sirkap itself. (‘ Terra—cottas’, ch. 24, nos. 46—9; Pl. I 33.) On the top of the head there is commonly a topknot encircled with a bandeau or wreath, which is often much too small for the size of the head.I In front, the hair either falls over the forehead in short strands or is rolled back over the ears. Sometimes it is plaited or braided or curled along the front edge, as in archaic Greek statues. The sculptures of this class fall into the following ﬁve subdivisions, the charac- teristics of which appear to be mainly due to the idiosyncrasies of the sculptors. Type a. With nose of normal size, short upper lip and small, rather insigniﬁcant mouth. The eyes are carelessly modelled.",,Sk,2,1913
3,54,62,, II. Sculptures in bastard Hellenistic style (nos. 3—18),"54,62","3. Sk. ’I3—2,088; sq. 54-62’; stratum II. Height 6 in. Female headwith heavy laurel wreath. Hair parted from centre and rolled back over the ears, with two rosettes over the left ear. Right side of forehead and part of nose damaged; topknot missing. Lime-wash. (Pl. 148, no. 3.)",148-3,Sk,2,
4,54,61,, II. Sculptures in bastard Hellenistic style (nos. 3—18),"54,61","4. Sk. ’I3~2,118; sq. 54-61’; stratum II. Height 5 in. Female head. Hair parted in centre and rolled back over ears; the topknot being, bound round with a twisted kerchief. Ear— pendant missing on left side. (Pl. 148, no. 4.)",148-4,Sk,2,
5,54,62,, II. Sculptures in bastard Hellenistic style (nos. 3—18),"54,62","5. Sk. ’I3—2,Io7; sq. 54-62’; stratum II. Height 6-37 in. Female head. Hair arranged in corkscrew curls falling like a Wig over forehead and ears, and surmounted by a high topknot tied at the base with a bandeau. Small ear-pendants. (Pl. 148, no. 5.)",148-5,Sk,2,
6,,,, II. Sculptures in bastard Hellenistic style (nos. 3—18),,"6. Belonging to the same class as the above but in sharp contrast with them, by reason of the different treatment of the eyes, is the head Sk. ’12; Trench A 481; stratum II (height 4~12 in.). In this case the eyes are wide open and staring, with highly arched eyebrows, while the hair is arranged in ringlets with a topknot above, as it was on heads of the Buddha. For the wide-open, staring eyes, cf. ch. 25, no. 63, and ch. 36, pp. 693—4. (Pl. 148, no. 6.) Type b. With nose of normal size, full lips, and short upper hp.",148-6,Sk,2,1912
7,63,62,, II. Sculptures in bastard Hellenistic style (nos. 3—18),"63,62","7. Sk. ’I3—2,02.I; sq. 63-62’; stratum II. Height 4-2 in. Female head, with rather short hair combed from the crown over the forehead, and with a topknot which was once encircled with a Wreath. Rosette over right ear. Long cylindrical pendants in ears (preserved in left ear only). (Pl. 148, no. 7.)",148-7,Sk,2,
8,,,, II. Sculptures in bastard Hellenistic style (nos. 3—18),,"8. Sk. ’I3—2,008; sq. 63°62’; stratum II. Height 4-5 in. Female (?) head, with highly arched brows and slightly smiling lips. Wears heavy ear-pendants; hair combed on to forehead and plaited or braided at the fringe. Above, smooth plain wreath, which may have been painted. Cf. A.S.R. (1912), P1. XVIII, 5. (Pl. 148, no. 8.)",148-8,Sk,2,
9,63,62,, II. Sculptures in bastard Hellenistic style (nos. 3—18),"63,62","9. Sk. ’I 3~2,oo6; sq. 63-62’; stratum II. Height 47 5 in. Female head. The eyes are carelessly modelled and the shape of the face is irregular, as if intended to be seen from one side only, like many of the later stuccos. The hair falls thickly from the crown over forehead and ears; I It seems not unlikely that the ushnisha of the Buddha image evolved in Gandhira had its origin in these topknots. CH. 26] STUCCO SCULPTURES 519 crowning it is a segmented wreath, encircling the topknot. Cf. A.S.R. Pl. XVIII, e. (Pl. 148, no. 9.)",148-9,Sk,2,
10,63,62,, II. Sculptures in bastard Hellenistic style (nos. 3—18),"63,62","10. Sk. ’13~2,025; sq. 63'62’; stratum II. Height 375 in. Bearded head, with eyes deep-set, but sketchily drawn, overhanging brows, and long oval face. The modelling under the eyes is cleverly done. Top of head and ears missing. (Pl. I48, no. 10.) Type c. With shortish nose and short upper lip, but wider mouth, heavier jaws and a squarer shape of head. The workmanship is crude, and the modelling of the eyes especially defective.",I48-10,Sk,2,1913
