,X,Y,block,class,description,plate,site,stratum,year
35,,,,,"35. Mm. ’I5—297; cell 19; 8 ft. below surface. Height 7 in. Small head of the Buddha, in a ﬁne state of preservation and remarkable for the beauty of its high-caste and ﬁnely modelled features. Only the ear—lobes are damaged. The ﬁrm? is small, but prominent; the hair waved back from the forehead. Traces of red paint on lips, eyelids, forehead and neck. This head I One of these standing ﬁgures—between the Buddha and the seated Bodhisattva on his right—was too decayed to be replaced when the panel was set up in the museum. CH. 26] srucco SCULPTURES 523 affords a good opportunity of examining the technique of these ﬁgures. Over the plaster is a ﬁne slip of limetor more probably ﬁne ‘shell’ plaster, applied before the ﬁnal deﬁnition was given to the features. The paste must have been still soft when the slip was put on, and it was not until after the application of the latter that the ﬁne lines were impressed with a modelling tool around the nostrils, etc. The face is left white, but the lips, edges of nostrils, rims and folds of eyelids, edges of hair, folds of neck and ear—lobes, are picked out in red, and the hair is coloured grey-black. Observe the long and narrow eyes, slanting upwards at the outer corners, the small and sensitive nostrils, the full lips and prolonged ear—lobes. Cf. p. 362 (4) supra; A.S.R. (1915), P1. XX, d. (Pl. 153, a.)",153-a,Mm,,
36,,,,,"36. Mm. ’18—4; east of main stﬁpa; ground-level. Height 5-37 in. Stucco head of a Bodhisattva. Wavy hair parted in the middle and conﬁned within a ﬁllet, and curled above the ears. Crown of the head missing. Tip of nose damaged. Lime-wash. Note the elongated and oblique eyes. For this and the three following, cf. p. 359 supra. (Pl. 153, d.)",153-d,Mm,,1918
37,,,,,"37. Mm. ’27—9; between stﬁpas I and II; 2 ft. 3 in. below surface. Height 6-75 in. Stucco head of a lay-ﬁgure, wearing long moustache. The right eye, ears, forehead and hair are missing. The jaw is heavy and the cheeks well modelled. (P1. 14.9, I.)",14.9-I,Mm,,1927
38,,,,,"38. Mm. ’15—292; east of main stﬁpa; 12 ft. below surface. Height 5 in. Stucco head of Bodhisattva. Ears and head—dress damaged. No umd. Traces of Crimson paint on lips. Hair grey—black; roughened with age. Cf. A.S.R. (1915—16), p. 26, no. 3. (Pl. I53, c.) 38, a. Mm. ’15—16, 216. Harmikd of kaﬁjﬁr, coated with stucco, 22-5 in. wide x IO in. high. Traces of blue and red paint. From the small stﬁpa. Cf. A.S.R. (1915~I6), p. 29, no. 6. (H 149.16.) STUCCO RELIEFS 0F JAULIAﬁ. Nos. 39—71. (Cf. ch. 20, pp. 371—84.) For variety and extent the collection of stucco ﬁgures found at the suughdrdma of Jauliaﬁ is by far the most important at Taxila. It does not contain anything up to the standard of the ﬁnest reliefs at Mohra Moradu, but, on the other hand, it comprises countless examples of every kind of ﬁgurine employed in the ﬁfth century to adorn the smaller class of stﬁpas. In describing these stucco sculptures of Jauliaﬁ we shall start with thelarge and medium-sized images found in situ, then proceed to the smaller ﬁgurines also in situ, and close our account with the detached heads and other disjecta membm which were lying among the fallen debris. A. Large and medium-sized sculptures in situ. Nos. 39—42. These are found either in the image-shrines (e.g. no. 39 infra) or decorating the bases of stﬁpas (e.g. nos. 40, 41 and, 42) or in niches let into the monastery walls or on pedestals in front of some of the cells. On the base of the main stﬁpa the images are, as usual, divided one from the other by pilasters; on the smaller stﬁpas the pilasters are sometimes absent.",I53-c,Mm,,1915
39,,,,,"39. In. ’27~F 585. A ﬁne group of stucco ﬁgures found in chapel E I at Jauliaﬁ, and now in the museum. In the centre is seated the Buddha in the attitude of Meditation (dhydna-mudrd) with a standing Buddha to his right and left and two attendant ﬁgures behind. Of the latter, the one to his right is carrying the ﬂy-whisk (caun‘); the other, as suggested by his head-dress, is Indra, holding the thunderbolt (vajra) in his left hand. On the central image are still many traces of the red and black paint and of the gold—leaf with which it, and doubtless the other- 524 srucco SCULPTURES [on 26 ﬁgures also, were once bedecked. All ﬁve ﬁgures are of lime plaster, on a core of kaﬁjﬁr, rubble and clay. In style they are not on a par with the reliefs in the fourth bay of the main stﬁpa at Mohra Moradu (p. 521 supra), and the attendant ﬁgures are especially stiff and formal, but the central ﬁgure of the Buddha is an impressive example of the conventional images of this period and the ﬁnest, in a complete state, at TaXila. Soon after its discovery this group was shattered to bits by a fanatic, but reconstructed with inﬁnite skill and unwearying patience by my assistant, Mr M. Gupta. Cf. p. 377 supra; ju. Mem. Pl. XIII, 1). (Pl. 155, a.)",155-a,,,1927
40,,,,,"40. In. ’27~»F 586. Seated colossal Buddha in the dhya'nu—mudrd, occupying the bay between a pair of pilasters on the south face of the main stﬁpa opposite to stﬁpa A11. Four smaller ﬁgures of the Buddha, one in the s’ikslzd— and the others in the dhydna—mudrd, are seated, one above the other, on lotuses, on the faces of the pilasters. All of these ﬁgures, large and small, belong to the ﬁfth century A.D. The central image, like all such large images of this period, is composed of a core of large blocks of kaﬁjﬁr stone covered with clay, and ﬁnished with a thick coating of lime stucco. 'I‘he workmanship is rough and the style mechanical. (Pl. I 54, a.)",I 54-a,,,1927
41,,,,,"41. In. A15. A row of Buddhas in the attitude of Meditation, seated side by side on the plinth of stﬁpa A I 5. This is probably one of the earliest of the smaller stﬁpas at Jauliaﬁ, and it’is not unlikely that the form of decoration found here represents an earlier stage than that found in most of the neighbouring stapes (eg. I) I, D4, A16), but, if this is so, the images of the Buddha must have been remade in the ﬁfth century A.D. since it is quite certain that, as they stand, they are among the latest reliefs on the site, being both stereotyped in style and coarse in workmanship. Cf. p. 372 supra. (Pl. I 5 5, b.)",I 5 5-b,,,
42,,,,,"42. In. ’I7—F 589; east face of stﬁpa Ari. Height 23 in. Stucco image of the Bodhisattva Maitreya, in the attitude of Meditation, holding an unguent~ﬂask in the ﬁngers of his left hand. Wears ear-pendants, necklaces and bangles. The state of preservation is excellent, but the modelling is mechanical and the features heavy and soulless. As a rule, Maitreya is seated in European fashion, and is seldom portrayed in the dhydna—mudrd. Cf. p. 373 supra. (Pl. I 55, d.) B. Small Sculptures in situ. Nos. 43—8 (cf. ch. 20, pp. 372—3). These are found on a large class of stﬁpas at Jauliaﬁ and elsewhere. The stﬁpas commonly have a square base, circular drum, dome and a range of umbrellas, but from most of them the super- structure has now perished and the bases only remain. The latter are generally divided into three horizontal tiers, diminishing in width and height as they ascend, and divided one from the other by dentil cornices. The principle of decoration is the same for all three tiers; it consists of a series of stunted pilasters with shallow niches between them. In the two lower tiers the pilasters are usually in the debased Corinthian style; in the uppermost, in the debased Persepolitan. The niches are in the form either of a trefoil arch or of a portal with sloping jambs, which was the form in fashion at this time for the doorways of monastery cells. These two forms of niches alternate with one another on the faces of the stﬁpas, both horizontally and verti- cally. Within the niches are seated Buddhas or Bodhisattvas—the former in the attitude either of Meditation or of Teaching; on either side of the niches, between them and the pilasters, are pairs of ﬁgures bringing offerings to or worshipping the Buddha. In order to increase the height of the two lower tiers without diminishing the number of niches, an extra row of ﬁgures was added at their base. Inthe lowest tiers these ﬁgures commonly consisted of the forefronts of lions alternating with atlantes, which are shown supporting the weight of the superstructure above them. In the second tier the lions were frequently replaced by elephants.   5.9.1,... weaned“? 0“ raw“. ». .. ,. A... w CH. 26] srucco SCULPTURES 525 To the above description it should be added that: (a) In the second and top tiers the forefronts of lions and elephants were sometimes added at the base of the portal jambs and trefoil arches which enclosed the niches. (b) The Perse— politan pilaster—capitals were usually crowned with bulls, back to back. (c) The atlantes generally took the form of warriors or musicians or ﬁgures holding wine- cups. (d) The ﬁgures beside the Buddha rest, as a rule, on a kind of lotus stool. Sometimes they are two Buddhas, seated and meditating; sometimes they are two monks or two lay-worshippers, kneeling and praying or bringing offerings of fruit or ﬂowers in their robes or in a basket, or occasionally with caskets in their hands, containing treasures of one kind or another (no. 43=Pl. 156, a). ((2) Figures of seated Buddha are sometimes substituted on the face of the Corinthian pilasters in place of the usual small incised panels, e.g. on the pilasters on the west face of stﬁpa D4 (no. 44=P1. 154, b). The above was the scheme of decoration on the majority of these small stﬁpas, but in some cases it was varied by inserting a row of seated Buddhas or Bodhisattvas side by side and without any adventitious decoration beneath the lowest course of lions and atlantes, as in stﬁpa A11. In a few cases, as in A15, the whole plinth was occupied by such ﬁgures, but as already stated, this may represent an earlier type of decoration. Such intensive repetition of ﬁgures is not found in stﬁpas of the earlier Gandhara School. The new fashion was to some extent the result of the stereotyping and commercialising of art; but it arose still more from the ever—growing practice of repeating the ﬁgures of the Blessed One in countless numbers, so that the donor of them might achieve a corresponding increase in the volume of his merit. The general appearance of these stﬁpa—bases will be clear from the illustrations of stﬁpas A16 and D4 (nos. 45~7) on Pls. 156 and 157. The former, which is the smaller of the two, is now in the local museum; the latter still stands on the spot where it was unearthed. Although the description given above applies accurately to both, there are certain features that merit further attention. One of these is that, while in stﬁpa A16 all the ﬁgures in the niches are Buddhas seated in the attitude of Teaching or of Contemplation, in theupper section of D4 as well as in D 1,,Bodhisattvas are substituted for some of the Buddhas. Another noteworthy feature is the sloppy and unconvincing postures of the atlantes, not only on these, but on all the stﬁpas of this period. It is a natural and logical expectation that any supporting ﬁgures of the kind, Whether atlantes or caryatids or animals, should be sufﬁciently big and strong to appear to support the super- incumbent weight; but these atlantes are not only absurdly small in proportion to the size of the structure, but they are in attitudes which suggest that, instead of sustaining the mass above them, they are being crushed beneath its burden. A third point of interest is that among the many pairs of attendants on the Buddhas or the Bodhisattvas we encounter here and there some women. One such pair of women occurs in a panel in the lower row on the north face of stﬁpa D4 (no. 48=Pl. 154, c). In the centre, is a meditating Buddha, and to right-and left of his trefoil niche a woman seated on a high seat in European fashion. The one to MT 67 Buddhas   526 STUCCO SCULPTURES [CH. 26 the proper right of the Buddha holds in both hands a covered vessel, the bottom of which rests on her left hand, while with her right hand she seems about to lift off the tall lid. The other one holds in her right hand a drinking—cup and in her left a spear. These are distinguishing attributes of Kubera, the dispenser of riches, in his capacity of leader of the yakshas, and later on were transferred to his consort Hariti, the demon mother of children and giver of prosperity. We may be sure, therefore, that these women are meant to be yakshiuis, embodying some popular superstition or other.I Hariti herself, so the legend goes, was converted by the Buddha and became an upasika‘ or lay—disciple; and to feed her 500 children, whom she had formerly fed on the ﬂesh of human children, Buddha told her that the bhikshus in the monasteries should every day offer her food from their portions. . Hence, I—tsing tells us, an image of Hariti was placed either in the porch or in the corner of the dining-hall of Indian monasteries, and abundant offerings of food were made to it.2 C. Miscellaneous detached sculptures. Nos. 49—71 (cf. ch. 20, pp. 371, 384).",I 55-d,Bl,,
49,,,,,"49. In. ’16—57; north-east of main stﬁpa. Stucco head of the Buddha. Height 21 ' 5 in. Lime— wash. Traces of red paint on edges of hair and on right ear. No slip preserved. This and the following head belonged to two of the colossal Buddhas which adorned the walls of the main stﬁpa, and are ﬁne specimens of their kind, both probably by the same hand. The hair is treated in much the same way as on the small head from Mohra Moradu (no. 35 supra) but the features are not so reﬁned and delicate as in that example. The ﬁrm"" was probably composed, as it appears to have been in most of the colossal heads, of a round piece of rock—crystal cut en cabochon and sunk in the surface of the plaster. j‘n. Mem. p. 42, no. 57. (Pl. I49, m.)",I49-m,,,1916
50,,,,,"50. In. ’16—32; north—east of main stﬁpa. Stucco head of the Buddha. Height 21-75 in. Back of head partly missing and ears damaged. Lime-wash. Traces of red paint on hair and ears. Slip not preserved. ju. Mem. Pl. IV, 1) (P1. 149, n.)",149-n,,,1916
