,X,Y,block,class,coord,description,plate,site,stratum,year
44,,,,,,"44.2 TERRA-GOTTA AND CLAY OBJECTS [CH. 24 eminence on this subject to decry the work of the North-West from the Gandhara period onwards, treating its productions as little more than pale and effete reﬂex— ions of classical prototypes, and claiming for Hindustan and Central India virtually the whole credit for the great outburst of formative art {which distinguished the Gupta School. We know now from these remains at Taxilagthat, whatever Hellenistic tradition may have lingered on into the ﬁfth century, the Indo-Afghan School was anything but a mimetic one. It was conservative to the extent that it perpetuated many of the orthodox forms of Buddhist imagery, but it was essentially a living art, instinct with new energy and creative power, and it made most valuable contributions to the later art of Hindustan and Central India. The time when it may truly be said that art at Taxila was mainly an imitation of Hellenistic art was during the Parthian period, and we have only to turn to the stucco ﬁgures of that period from Sirkap to understand how degenerate Hellenistic art could become in the hands of Indian imitators who had no creative genius of their own. Three centuries later conditions had entirely changed: the sculptors of the Indo-Afghan School were still making use here and there of Hellenistic motifs and ideas, but only to assimilate them into the body of their own art, which in its own way was just as original, forceful and independent as the Gupta art of Hindu— stan and more so than contemporary Byzantine art in the West. Some general remarks on the terra—cottas from the Bhir Mound will be found in vol. I at pp. Io4-5, 108, III; and on those from Sirkap at pp. 127—8, 133, 203, 208—9. Other references are given in the individual entries of the catalogue below. Type a. Primitive idol type.",,,,
1,,,, I. ‘Nude Mother’ or ‘Earth goddess’ type (nos. 1—8),,"I. Bm. ’20—717; sq. 47‘72'; stratum III. Miniature female ﬁgure of terra-cotta with buff slip. Height 2-37 in. No arms; the legs end in a point immediately below the thighs, the division between them being shown by lightly incised lines. The nose is pinched, as in pre- historic ﬁgures, and round the neck is a series of bands or torques such as are also found on ﬁgures of the Chalcolithic Age. These, as well as a hip-girdle and cross-straps in front of the body, are shown by lightly incised lines. The hair, which falls down the back of the neck, is square-cut and indicated by crossed lines. Behind the head, in the middle of the hair, is a rosette, and three other rosettes on the top of the head. In the ears are rosette ear-rings. The idol is probably of prehistoric date, having found its way by chance into the later ruins of the Bhir Mound, but it is also possible that this and the four following ﬁgurines came from ritual tanks of the kind described below (nos. I 53—63). Cf. the ﬁgures in Pl. 136, w and no (nos. I 58, 159).I (Pl. 132, no. I.)",132-I,Bm,3,1920
2,49,88,C, I. ‘Nude Mother’ or ‘Earth goddess’ type (nos. 1—8),"49,88","2. Sk. ’30-512; Block C’; sq. 49'88’; stratum VII. Standing female ﬁgure of ﬁne terra-cotta adorned with incised lines and rosettes. Height 3 in. Much like no. I, but the legs are longer, there are four rosettes on the chest, and the torque or necklace is modelled in relief. Head missing. For the rosettes, see my remarks on the red stone statuette of the Chalcolithic Age from Harappa (M .I .0. vol. I, p. 4.6 and P1. X). The parallel lines around the legs in this and I The idol shows no mark of attachment at the base, but this would be readily accounted for if it was set up in a socket-hole or if the tank was made of clay, as in modern Bengal. .. WWWMW .. .s . CH. 24.] TERRA-GOTTA AND CLAY OBJECTS 443 nos. I and 3 probably represent a series of anklets, like those so commonly found on female ﬁgures at Saﬁchi‘. (Pl. I32, no. 2.)",I32-2,Sk,7,1930
3,51,117,, I. ‘Nude Mother’ or ‘Earth goddess’ type (nos. 1—8),"51,117","3. Bm. ’30—290; sq. 51.117’; stratum II. Lower portion of a female ﬁgure. Height 4-5 in. Pointed legs ending at the ankles. Hip-girdle, anklets and sex organ represented by incised lines. Red clay. (Pl. 132, no. 3.) .1",132-3,Bm,2,1930
4,11,61,, I. ‘Nude Mother’ or ‘Earth goddess’ type (nos. 1—8),"11,61","4. Bm. ’30—444; sq. 11-61’; stratum II. Crude female ﬁgure of red térra-cotta. Height 4-37 in. Legs missing from hips downwards; arms end in points above théfelbows; eyes are formed of round pellets with a straight horizontal incision across them. Three plaits of hair fall down the back. Torques, necklaces and hip—girdle are represented by punctured dots. Crude workmanship. (Pl. I 32, no. 4.)",I 32-4,Bm,2,1930
5,24,48,, I. ‘Nude Mother’ or ‘Earth goddess’ type (nos. 1—8),"24,48","5. Bm. ’20—829; sq. 24-48'; stratum II. Crude female ﬁgure of red terra—cotta. Height 4-37 in. Legs missing; arms end in points above the elbows; eyes as in preceding example. Long hair indicated by lines down back; torque and hip—girdle by punctured dots. Crude workmanship. (Pl. 132, no. 5.) Type 1). Later ﬁgures under Graeco-Parthian inﬂuence. These come from the Parthian city of Sirkap. The modelling is inﬂuenced by Hellenistic work, but note that in no. 8 the arms end in points just below the shoulders, as they do in primitive Indian ﬁgures. On the other hand, the legs are well formed in all three specimens, and the thighs are strongly developed, as they frequently are in Indian ﬁgures, notably in the Mathura School. No. 8 is in the round; the other two are votive plaques in relief.",132-5,Bm,2,1920
6,75,76,E, I. ‘Nude Mother’ or ‘Earth goddess’ type (nos. 1—8),"75,76","6. Sk. ’16—362; Block E’; sq. 7 5-76’; stratum II. Ex-voto relief with standing female ﬁgure, of muddy brown clay. Height 4 in. No wash or slip. Head, feet and hands missing. Arms hanging at full length on either side of body. Cf. p. 184 supra. (P1. I 32, no. 6.)",I 32-6,Sk,2,1916
7,8,61,1, I. ‘Nude Mother’ or ‘Earth goddess’ type (nos. 1—8),"8,61","7. Sk. ’16—594; Block 1; sq. 8-61’; stratum II. Ex-voto plaque with standing female ﬁgure, of greyish black terra-cotta. Height 4-2 5 in. Head and legs below knees missing. Right hand raised to waist. Left hand on hip. Cf. p. 142 supra. (Pl. 132, no. 7.)",132-7,Sk,2,1916
8,161,62,K, I. ‘Nude Mother’ or ‘Earth goddess’ type (nos. 1—8),"161,62","8. Sk. ’I4~89; Block K; sq. 161-62’; stratum II. Standing female ﬁgure in the round of red terra-cotta. Height 3-62 in. Head and feet missing. Arms end in points below shoulders. Down the back is a plait of hair. (Pl. 132, no. 8.) With the exception of no. 16, these ﬁgures are in relief on eX-voto plaques. That they represent divine ﬁgures there can be no doubt. In nos. 9 and I 5 no folds are visible on the draperies; in the remainder the folds are ﬁnely delineated. The nature of the lower garment is not clear. In some it appears to be a dhoti or sari; in others it is more like a skirt, while in one specimen it is seemingly a pair of trousers such as Pathan and Hazara women generally wear at the present day. In some specimens the arms are at full length, holding out the skirt or trousers on either side of the legs (e.g. nos. 9 and 10); in others the right or left hand rests on the hip, while the other hand hangs down (e.g. nos. I 1—15). None of the ﬁgures are later than the second century 3.0.",132-8,Sk,2,
9,49,126,," II. Female deity standing, with full-ﬂowing skirt (nos. 9—16)","49,126","9. Bm. ’2I—I,487; sq. 49-126’; stratum II. Ex-voto plaque with standing ﬁgure of a female deity in relief. Height 4-7 5 in. Pinkish red terra-cotta. Figure wears Wide trousers( P) and veil hanging from the top of the head down the back and to each side, as in no. I 5. Both arms are at full length and symmetrical. (Pl. 132, no. 9.) [CH. 24 €qu .um ‘ mm B .Nm I I I I I .85 madam 2&5 wouwom .N Ann .05 ”Em $3 an ”Bow ﬁts NH I I I » I I I I an I I .opdwm 2&5 mamvawuw .NH M Cm .0m .35 3qu 3:35me omamaéom W mm I I I I I I E 3am ENE mcmvdwuw .23? _ 3N .mw .85 396 “3:2: :3 M I , I I I ow “wu I I 5 95mm 2mg mﬁuﬁum .Ew M Q."" 6N .mocv Exam «so w .539 .5 H33 53% 9:30? I I I I ha 6N I I Baum 2an wﬁvcwum .H> I Amlmu .35 E: as 8 2% ﬁg “macaw; > I I I I ma I I +~ :mu I I hand ounaom woman” .> I, . ANION .35 mg @033 5 33 4E5 .vounom Ha .ow I I 33v 355% womwhﬂ .>H GT? .85 tEm Emma mama—33 was vﬁﬁ ﬁn: E EB 53p H: I I I I I I I 315 I I miwcﬁm 33m. 325% .HHH 67a , .88 3% 33%.? £3 5 A... Eoﬂ S I 0H .3 I I I I «HIS no I I wﬁucﬁw 33w oﬁﬁoh .HH AwIH .85 ~93 wmovvow H I I mic I I m I mlm H I 53m no 3862 ova-Z .H SHIP I I On I, HH> M I g I I Fr",132-9,Bm,2,
3,,,," II. Female deity standing, with full-ﬂowing skirt (nos. 9—16)",,3 .: 89¢ S | I   l I l I   V .0.” cOom :mEtmm 81m £030 845w -mxmm Bad bumm “WWW loam“. oowwausm SEW“: EﬁWoo Ammswwﬂooum 330 ”89mm 3&0 :lH: >H => H: >~ 3&0,,,,
8,12,60,," II. Female deity standing, with full-ﬂowing skirt (nos. 9—16)","12,60","8.95m maxim 35.5w 3502 ”Em                               mFOMHmO W<QO Q24 <BHOOI<MMMB m0 BM<EO H<Ommm<MOHB<MBm 445 CH. 24] .Eﬁmmu .E ”was“? .: £53“? 3 m3%34 ”.302"" .82 M ﬁaﬁm u .qM “Emmaanﬁa n .5 a     >Hv0n HENN CNN COW MUM Strum HH>N Ewan >N >HN 2va EN Um   ﬁend a: d... 88% claw” .82 Sod owlabn .GM 38m win? .5 89¢ «35“ .AQ Scum w: ﬁg 5.: AD 39¢ a 6? ﬁnd own d5 59¢ Ham .3. 88% m: was h: .AQ 89a in we“ a J: .H: 4E 53% no AD 89¢ 3“ can mo .00 .: 8% 3 .:Q 59¢ cm .: 53m m¢ .:Q 88% a .3”     «elm m H «mini AS 63 +3 63 m: .N: 50H do“ .02 do hmo :3 6w “mm 65 Amn no 0o +m H m £18“ a .3. .N+   om   o: ONH o: ~o: mo“ hmm mm   men :va mum a: m: *3 $3 an .05 «m .3“       Ill «mu 1: .09 $9 .09 .03 «3 can do” «3 60.3.3 .m|~w .3. mo .mh .wlan 0L6 .«c .5 am .wm hm .mm   .3 9. .313 .mm mm .mm   m In: .03 £3 .5: .m? .m 1H? , 53 cm .R hm     Rm L6H .85 85mm >30 «.5 «38-83» 333.3” 550m Amolmmu .85 91.33%?“ .8 9582 .EUOA E18: .85 ”232 Avon Amwlcun .85 mucosaﬁo 3:8qu 98 mecca oﬂumuoooﬂ ANN Amluuu .85 00%-???3 dam Analo: .85 8533 .NHN $7on .88 855% .H:>M Abonlah .85 £833 .8 8.80 Soﬁe» 2838 ~89 .Esn Chino .85 28:3 :0 maﬁa mﬁugg hon—L .TCm A: koolwm .88 3.3a >09 SN 31% .83 gougaoommg 55m Ammlmw .85 mega Jouuwummgv was #030 .EHN Au :Iqlom .85 £33 Baufom .mx Awlmn .85 0va 3 02m 95333 0.59% 038$ «Eu 33% AN   57 MT 446 "" TERRA-GOTTA AND CLAY OBJECTS [CH. 24 TABLE SHOWING DISTRIBUTION OF TERRA-GOTTA OBJECTS       IN SIRKAP Bl k Stratum VII Strata VI—V Stratum IV , Strata III—II Stratum I 00 (?) Pre-Greek Greek Early Saka Saka-Parthian Surface EAST SIDE OF MAIN STREET I — — — 7, 42 — A —- — —— 1 58, 1 59 — B —— — — 36 —— C _ _. __ ._ .__ D — — — 34, 99 — E —— —-— —~ 86, 126 — F — ~— — 47, 51, 63, 76, ~— 81 G —— —— ~— 124 ~— H — — —— 123 - I _ __ _ __ _ J _ _ __ __ __ K _ _‘ 31 8: 113: I55—7) ‘- 162 L — - - 149—52 —- WEST SIDE OF MAIN STREET 1’ ——- 32, a, 71, 115, 105 42, a, 161 87 125 A’ — 49, I63 33, II6 46 — B’ — 52. 70, I19 — 95 - C’ 2 25. 154 53, 88. 11°, —, ~— 120 D’ — —— —— —— — E’ —— —— —— 6, 107 — F’ —— — — — ~— G’ — 103, 104 —— ' 48, 54, 60, 112 — H’ - — — — — K’ ,_ __ — 30, 127, 160 —- L’ —- —- —— - — Second —— — —— 106 — Street (east)                 Note. Objects found in trial trenches or'spoil earth or outside the city wall are not included in the above Table. IO. Bm. ’21—372; sq. 12-60’; stratum II. Votive relief with lower part of a draped female deity wearing bangles and necklaces and holding the sides of the lower garment in her two hands. Height 4-25 in. Red clay, mixed with bajrz'. No wash or slip. The folds of the drapery are unusually ﬁne. (Pl. 132, no. 10.) _",132-10,Bm,2,1921
11,,,," II. Female deity standing, with full-ﬂowing skirt (nos. 9—16)",,"11. B111. ’14—26 5; stratum II. Votive relief with part of female ﬁgure, from waist to knees. Height 4-12 in. Wears sdri or dhoti and rests right hand on hip. Red terra-cottamixed with sand (Pl. 132, no. 11.)",132-11,,2,1914
12,8,45,," II. Female deity standing, with full-ﬂowing skirt (nos. 9—16)","8,45","12. Bm. ’19—3 59; sq. 8-45’; stratum II. Votive relief with lower half of a standing female~ deity with full-ﬂowing skirt. Height 3-37 in. Right hand rests on waist; left hand holds side of her skirt. (Pl. 132, no. 12.)",132-12,Bm,2,1919
13,,,," II. Female deity standing, with full-ﬂowing skirt (nos. 9—16)",,"13. B111. ’30—345. Spoil earth. Similar to preceding. Height 3-5 in. Right hand of deity rests on hip; left hand holds side of drapery. Head and feet missing. (Pl. I 32, no. 13.) CH. 24] TERRA-GOTTA AND CLAY OBJECTS 447",I 32-13,,,1930
14,,,," II. Female deity standing, with full-ﬂowing skirt (nos. 9—16)",,"14. J1. ’13—50; Mound D; 8 ft. below surface. Votive relief with standing and draped female deity, of red tetra-cotta. Height 2-2 5 in. Left hand on hip. Head missing. Of Maurya age. Cf. p. 229. (Pl. 132, no. 14.)",132-14,,,1913
