,X,Y,block,class,coord,description,plate,site,stratum,year
1,,,A, I. Prehistoric artefacts (nos. 1—5),,"1. Sk. ’27; Trench D78; stratum II. Polished celt of ﬁne-grained light green epidiorite, with slightly crescentic edge and ﬂattened butt. Length 375 in. Sp. gr. of epidiorite=3-I4. Pl. I o, a. ( 2. Sk. ’2)8—-2I 1; Block A’; sq. I 586’; stratum IV. Short, splayed celt of dark green epidote- quartz, with crescentic cutting edge; polished. Length 268 in. Sp. gr. of stone=2-98. (Pls. 140, b; 143, a.)",,Sk,2,1927
3,19,94,A, I. Prehistoric artefacts (nos. 1—5),"19,94","3. Sk. ’29—I,I63; Block A’; sq. 19-94’; stratum III. Short celt of polished nephritic jade, With crescentic cutting edge. Length 325 in. Sp. gr. of stone = 296. Cf. p. 195 supra. (Pl. 140, c.)",140-c,Sk,3,1929
4,,,G, I. Prehistoric artefacts (nos. 1—5),,"4. Sk. ’17—585; Block G; sq. loo-58’; stratum III. Long celt of the Bandelkhand type, of grey quartzite, with blunted crescentic edge. Cf. p. 168 supra. Length 5°12 in. (Pl. 140, g.)",140-g,Sk,3,1917
5,,,, I. Prehistoric artefacts (nos. 1—5),,"5. Sk. ’16; Trench A728; stratum II. Pear—shaped mace—head of blue serpentine, of a type found at Mohenjo-daro and Harappa as well as in Western Asia. Cf. M.I.C. I, p. 36, and",,Sk,2,1916
11,,,, I. Prehistoric artefacts (nos. 1—5),,"11, p. 459. (Pl. 140, d.) Pivot-stones were used for two purposes, either for potter’s wheels, with a small depression in the centre for the tenon of the wheel to turn in, or for house—doors, with a much larger cavity to take the projecting tenon at the bottom or top of the door. In both types a hard stone such as gneiss, quartzite, hornblende or granite was used, Sometimes in the form of a natural pebble. Type a. Wheel~sockets.",140-d,,,
6,,,, II. Pivot-stones (nos. 6—10),,"6. Bm. ’19«G 53; stratum I. Circular slab of grey gneiss stone, with a small cavity sunk in the middle of one face. Diam. 712 in.",,Bm,1,1919
7,73,99,E, II. Pivot-stones (nos. 6—10),"73,99",7. Sk. ’19-869; Block E'; sq. 73-99’; stratum II. Natural pebble of white quartzite with a small cavity in one face. Length 5-25 in. Cf. p. 184. supra. Type I). Door-sockets.,,Sk,2,1919
8,5,59,, II. Pivot-stones (nos. 6—10),"5,59","8. Bm. ’19—1,801; sq. 5- 59’; stratum IV. Circular pivot-stone of gneiss, with hole in middle pierced through the thickness of the stone. Diam. 5-5 in.",,Bm,4,1919
9,,,, II. Pivot-stones (nos. 6—10),,"9. Bm. ’20—1, 582; sq. 14°3o’; stratum I. Similar, of red granite, but with shallow depression on one side only. Diam. 5-75 in. (Pl. 143, b.)",143-b,Bm,1,1920
10,,,, II. Pivot-stones (nos. 6—10),,"10. Sk. ’16; Trench A725; stratum II. Similar to no. 8, but of hornblende-gneiss. Diam. 5-12 m. The oldest form of quern in India is the slab or saddle-quern, specimens of which have been found among the Chalcolithic ruins of Harappa and Mohenjo-daro (cf. M.I.C. pp. 25, 456—7). Querns of a similar type, dating from the ﬁrst century A.D., occur on the Sirkap site at Taxila, and are still widely used in India as sil or kari stones, though rarely for the grinding of grain. Strange to say, no MT 62 486 STONE OBJECTS . [011. 25 querns of this type have been found in the Bhir Mound settlement, which is anterior to about 200 no The quern then in use was the stool-quern with four legs. For Egyptian stool-querns, cf. Flinders Petrie, Tools and Weapons, Pl. LV, no. Io5—a type which is found in ancient Egypt as early as the IVth Dynasty. The Indian examples are usually decorated with simple designs, which, as time went on, became more and more ornamental. Whether this type of quern was used generally for the grinding of corn is questionable. The ornamental carvings on many of the specimens suggest that they were meant for the grinding of spices, karz', etc., rather than of corn. It is true that the earliest example of the circular grinding-mill found at Taxila is not earlier than the ﬁrst century A.D., but it is quite possible that the grinding of cereals was chieﬂy done at or near the farms where the grain was grown, not in the city. On the other hand, the grinding-mill is found in most of the early medieval monasteries, and this fact, contrasted with its complete absence from any of the earlier settlements, goes far to show that it did not super- sede the quern untilﬁafter the beginning of the Christian era. For Greek and Roman grindstones and mills, cf. Dar. et Sag. III, p. 1960 and IV, p. 167. Type a. Slab or saddle-querns.",,Sk,2,1916
