,X,Y,block,class,coord,description,plate,site,stratum,year
1,,,S, I. Ear-pendants and ear—rings (nos. 1—53),,"1. Gold ear-pendant of ‘amphora’ type. Height 1-7 in. It consists of two separate pieces, the upper one attached to the lower by means of a hook which passes through a hole in the MT 79   Amphora type STRATIGRAPHICAL CHART OF GOLD AND SILVER JEWELLERY Bhir Mound strata Sirkap strata IV III III—II Other sites Class 5th to 6th 4th II I 912; VI—V EIVI Late 1 (Dh.=Dharmar5jika Class century century Maurya Surface Greek Greek Saiy Saka- Surface In. = Jauliiﬁ) B.C. B.C. a a Parthian ' I. Ear—pendants and ear- — 52 I — — — 4.6 2—30, 3 3— 31 , 32 47 from Dh. I rings (nos. 1—53) 4.5, 48- ' ’ 5 I y 5 3 II. Necklaces (nos. 54—74) —— 54., 55 — 71, 72 -— — 69 56-68, 70, (60) 73 from Dh. II 7 III. Girdles, breast-chains —- —- —-— —— -— — — 7 5&9 — — III and belts (nos. 75—9) IV. Amulets and pendants 81 87 — 80, 82, 83, —- —-— —— 84,11, b,85, ——— 95, a—d from Jn. IV (nos. 80—95) 86, 88, a—d, 89—- a—c 94, a—c V. Brooches (nos. 96—9) -—— — —- —- — -- — 96—9 (97, 99) — V VI. Hair-pins (nos. 100, 101) — — —— —— —- — —— 100, 101 — — VI VII. Bangles and bracelets —- — —— 133—6 — — -— 102—32, — — VII (nos. 102—43) 137, 138, 140—3 VIII. Torques (nos. 144—7) — — — — —- —— 144. I45, 146 14.7 — VIII IX. Anklets (nos. 148—6 5) — —- ~— — ‘ —— — — 148—6 5 — —— IX X. Miscellaneous (nos. 166— —— 199, 200 — I66, 204.— —— —— 178, 203 167, 168, —— 169 from Giri X 219) 10 170-7, 201, 202 from In. 179—98, 2 1 1—1 3 , 215—19                                   Note. Nos. 90, I 39 and 214, which were found in spoil earth in or near Sirkap, are not included in the above chart or in the Table on p. 623. 229 of 'HO] CH. 30] GOLD AND SILVER JEWELLERY 623 TABLE SHOWING DISTRIBUTION OF JEWELLERY IN SIRKAP     Block Strata VI—V Stratum IV Strata III—II Stratum I Greek Early Saka Saka-Parthian Surface EAST SIDE OF MAIN STREET I — ‘ — — — A _ __ _ _ B — _ 13’ I4) 58) 667 I02) I03: — 122—4, 167, 168 C ._ _ _ _ D — —- 3-6, 15—24, 48—51, 62, 67, —",,Dh,,
74,,,, I. Ear-pendants and ear—rings (nos. 1—53),,"74, 78, 79, 101, 125-32,",,,,
146,,,, I. Ear-pendants and ear—rings (nos. 1—53),,"I46, 148—65, 179-98 E _ — 9) IO, 3°) 35: 427 43’ 59) 6°) (60)",,,,
64,,,, I. Ear-pendants and ear—rings (nos. 1—53),,"64, 68, 7o, 91, a, b, 97, 99, (97, 99) 116—19, 211—13 F — — I77 — G — — 53 — H _ _ __ __ 1 __ __ _ _ J __ _ __ __ K — — 29. 44, 4s, 65, 77, 2I6-I9 — L _ _ _ _ WEST SIDE OF MAIN STREET 1’ — —— 176 —— A’ —— - — — B’ — 203 215 —— C' — -~ — — D' — 46, 69. I44, 2, 7, 8, 11, 12, 26—8, 33, 34, 31, 32, I47 178 36—41, 56, 57, 61, 63. 75, 76) 84) a: b) 85) '(l—d, 92’ aﬂd) 93) 94) (1—8, 96) 98) 100: 104—15, 120, 121, 137, I38,",,,,
142,,,, I. Ear-pendants and ear—rings (nos. 1—53),,"I42, 143, 170-5 E' —— — — ~— F’ —— -— —- —- G’ — — 25, 89, I40, I41, I45 — H’ — — —— —— K’ —— — —— ——                 latter. The upper piece takes the form of a full-blown ﬂower, of which the six outer petals are granulated, the inner ones plain. At the centre of the corona was a gem (now missing) enclosed in a beaded circlet. Between the outer leaves are four clusters of granules set on wire tendrils. The lower piece consists of an amphora with dolphin handles, from the tails of which depend four chains ending in pearl drops. The body of the amphora is of turquoise adorned with granulated triangles of gold and with a cluster of gold globules beneath its base. From the Bhir Mound. Stratum II. See vol. I, p. 106. For dolphin handles of amphorae in Greek ear—pendants, cf. B.M. Cat. of jewellery, nos. 2331—3, and for other examples of the dolphin motif, ibid. nos. I677, I678, 1681, 2067, 2108, 2426—32, 2626, 2627, 2840. (P1. 190, a.) ‘",190-a,Gr,,
2,64,92,D, I. Ear-pendants and ear—rings (nos. 1—53),"64,92","2. Gold ear-pendant in two pieces, the upper attached to the lower by means of a hook, which passes through a hollow cylinder in the latter. Height 4-37 in. The upper portion is built up on a square framework of ﬂat gold wire, subdivided into four small squares. At the back 79‘2 Disk-and- pendant and bar-and- pendant types Leech—and- pendant type 624 GOLD AND SILVER JEWELLERY [CH. 30 of this is a somewhat broader band of gold ending in two hooks which project beyond the framework on either side; at the point of projection the base of each hook is enriched with a small circlet edged with granules. The ornament on this framework consists of a quatrefoil central ﬂower, with sprays of three small leaves springing from the tips of its four obcordate petals, and rosettes alternating with them at the corners. Both rosettes and leaves were inlaid with turquoise paste. The central ﬂower is ﬁnely granulated and further enriched with a corona of ﬁve obcordate petals also inlaid With turquoise, on which a gold cupid is reposing. The lower piece consists of an amphora in the centre, and on either side of it an infant Eros riding on a winged sea-lion, from which hang four plaited chains ending in a pearl and leaf terminal, with a cluster of granules at the bottom of each leaf. The amphora is of beaded gold ﬁligrain, with panels of turquoise paste between. It is set upon a three-stepped base, from which hang ﬁve gold drops with a cluster of four tiny granules on each. The granules are of solid metal; the larger drops hollow. The cylinder on the top of the amphora has a beaded rim of gold granules. The winged cupids and sea-monsters appear to have been cast in a mould, and afterwards chased with a graving tool. The hair of the cupids, which falls on the shoulders in a natural row of ringlets, is very carefully worked. The wings and ears of the monsters and the wings of their riders both front and back are inlaid with turquoise, some pieces of which are missing. First century AD. Sk. ’29—I,5o7/I; Block D’; sq. 64-92’; stratum II. Cf. A.S.R. (1929), p. 64, no. 50 and P1. XVIII, 2. For a pair of somewhat similar gold pendants purchased by me in Rawalpindi, see A.S.R. (1902—3), pp. 186—7, Pl. XXVIII, 1, 2. Other objects from the same hoard included nos. 57, 61, 96 and 137, 138 infra. See vol. I, p. 186, Deposit A, no. 1. (Pl. 190, c.)",190-c,Sk,2,1929
3,,,D, I. Ear-pendants and ear—rings (nos. 1—53),,"3, 4. Pair of gold ear-pendants of ‘disk-and-pendant’ type. Diam. 1-2 5 in. The face of the disk is adorned with a full-blown ﬁower surrounded by concentric bands of beading, scroll and chainwork. Between the points of the petals are globules of gold, and in the centre a beaded circlet, once ﬁlled with turquoise paste. The outer petals of the ﬂower are embossed with imitation granules; the inner petals are plain. At the top of the disk is a trefoil ﬂeur-de-lys with a small ring behind, the cloisons of which were once ﬁlled with paste. From the base depend ﬁve plaited chains ending in gold beads. First century AD. Sk. ’26—4,081/6; sq. 5847’; Block D; stratum III. Cf. p. 156, no. I supra; A.S.R. (1926), p. 14, no. 10, and P1. XXVI, 12, 13. From the same hoard as nos. 5, 6, 15—24, 48—51, 62, 67, 74, 78, 79, 101, 125—32, 146, 148—65, 179—98. (Pl. 190, d.)",190-d,Sk,3,1926
5,,,, I. Ear-pendants and ear—rings (nos. 1—53),,"5, 6. Similar to preceding, but no outer petals to ﬂower, and round ﬂower complete circle of hemispherical globules in place of ﬁne beading; rim of double—twisted wire, and four chains beneath, ending in gold beads and leaf-points. Diam. 1-25 in. Same age and ﬁndspot as preceding ((1.7).). Cf. p. 156, no. 2 supra; A.S.R. loc. cit. no. II. (Pl. 190, f)",190-f,,,
7,,,D, I. Ear-pendants and ear—rings (nos. 1—53),,"7, 8. Pair of gold ear-pendants consisting of an oblong bar surmounted by a crescent and trefoil device, which take the place of the more usual disk. Height I in. The bar and trefoil are relieved with circular depressions surrounded by ﬁne wire beading. From the base of the bar hang ﬁve small disks suspended on Wires. For kindred patterns in Graeco-Roman jewellery, cf. B.M. Cat. of jewellery, Pl. LV, nos. 2668—70; for the crescent motif, ibid. Pl. LI, nos. 2356, 2357 and 2359. First century AD. Sk. ’29—1,241/21; Block D’; sq. 62—113’; stratum III. Other objects from the same hoard included: ‘Jewellery’, nos. 11, 12, 26—8, 33, 34, 36—41, 56, 63, 75, 76, 85, 92, 93, 98, 100, 105—15, 120, 121, 142, 143, 170—5; ‘Finger-rings’, nos. 2, 3, 9, 17; ‘Shell’, no. 49; ‘Coins’, R.U.C. nos. 209, 216. See vol. I, pp. 187—8, Deposit C, no. 1. Cf. A.S.R. (1929), p. 61, no. 50 and P1. XIX, 10, 11. (P1. 190, b.)",190-b,Gr,3,1929
9,,,E, I. Ear-pendants and ear—rings (nos. 1—53),,"9, I0. Pair of gold ear-pendants of ‘leech—and-pendant’ type, consisting of a plain leech crescent with clasp and a ‘bud’ pendant suspended from it by a movable ring. Length 362 in. The leech is of thin plate-gold shaped on a core of lac or pitch. The clasp, which is attached by means of a ring hinge, is of ‘double-leech’ pattern ornamented with a cinquefoil CH. 30] GOLD AND SILVER JEWELLERY 625 rosette, two hearts and a narrow strap. The rosette and hearts were inlaid with stones or pastes which are now missing. The pendent buds are covered with ﬁne granulation and their ﬁve points end in clusters of drops and granules. The ring to which the bud is attached is decorated on the outside with a double row of beads divided one from the other by a ﬁne beading. At the top of the leech crescent is a small ring by which the ornament was suspended from the ear. First century A.D. Sk. ’13—194/5—6; sq. 7766’; Block E; stratum II. Cf. A.S.R. (1912), p. 26, nos. 5, 6 and Pl. XXI, b, I, 2, 3, 5. The Greek practice, common among the jewellers of Taxila, of ﬁlling hollow ornaments of gold-foil with solid substances Such as pitch, wax, mastic, etc., is alluded to in the temple inventories of Delos, where we read, for example, of uﬁho: xpuoé’: Knpoo'rﬁs 112on and uﬁha xpuoﬁr ’e'wo: 1T7mpﬁ yﬁs. Cf. B.M. Cat. of jewellery, pp. XXXVi and XXXVii. Other objects from the same hoard were: ‘Jewellery’, nos. 30, 35, 42, 43, 59, 64, 68, 70, 91, 116~19, 211~13. ‘Finger-rings’, nos. 13—16. ‘Silverware’, nos. 16, 21. ‘Copper and Bronze’, no. 417. Cf. vol. I, p. 159, no. 3. (Pl. 190, g.)",190-g,Sk,2,1913
